Manufacturer,Part Number ,Part description ,Part location ,Part details on the system ,Quantity # in stock,Unit Price $,Date Used ,Date Re-Ordered  ,Quantity Used
Linde/Sealco ,E69461,"ORING,334 BUNA N674-70 PARKER",L 4th drawer ,"O ring for the gas opererated ex stem valve V614,V616-page 182 item 2, page 184 item 2,193 item 13",2,,,,
Linde/Sealco ,E69470,"ORING,030 BUNA N304-70 PARKER",L 4th drawer ,"O ring for N.C. Actuator-V308 -page 180 item 14, page 182 item 10,page 184 item 5, page 193 item 12",3,,,,
Linde ,E69499,"ORING,110 BUNA N674-70 PARKER",L 4th drawer ,"O-ring for Extended stem valve V308-Page 178 item 3, page 194 item 19",3,,,,
Linde,E69468,"ORING,008 BUNA N674-70 PARKER",L 4th drawer ,"O-ring for N.C. Actuator-V308-Page 180 item 12, page 182 item 4,page 184 item 4, page 193 item 14,page 195 item 53",32,,,,
Linde/Sealco ,E69468,"ORING,008 BUNA N674-70 PARKER",L 4th drawer ,"O-ring for N.C. Actuator-V308-Page 180 item 12, page 182 item 4,page 184 item 4, page 193 item 14,page 195 item 53",4,,,,
Linde,3839047P1,"Felt Lubricating 3.025""",L 4th drawer ,"Felt lubricant for engine piston maintenance-Page 192 item 1, page 163 item 5 ",2,,,,
Linde,E71061 ,"VALVE,CHECK .375NPT M/M BR",L 4th drawer ,Spare valve for V353+V364-Page 154,2,,,,
Linde ,E69469,ORING 218 BUNA ,L 4th drawer ,"O-ring for N.C. actuator V308-Page 180 item 13, page 182 item 5,page 184 item 7,page 193 item 16, page 194 item 24",5,,,,
Linde ,E69466,"ORING,016 BUNA N674-70 PARKER",L 4th drawer ,"o ring for Gas operated x-stem valve V614 V616 -page 182, item 2, page 184 item 2, page 193 item 13",5,,,,
Linde ,E69471,"SEAL,THREAD .25"" PARKER, 7500x1/4",L 4th drawer ,"JT valve-N.C. Actuator - V308-page 180 item 9, page 182 item 6, page 184 item 8, page 193 item 24",5,,,,
Linde,E69468,"ORING,008 BUNA N674-70 PARKER",L 4th drawer ,"O-ring for N.C. Actuator-V308-Page 180 item 12, page 182 item 4,page 184 item 4, page 193 item 14,page 195 item 53",5,,,,
Linde,E69470,"ORING,030 BUNA N304-70 PARKER",L 4th drawer ,"JT valve-Gas Operated Extended Stem Valve N.C. (V614, V616)-page 180 item 14, page 182 item 10, page 184 item 5, page 193 item 12",5,,,,
Linde ,E69268,"WASH,LOCK #10 SS",L 4th drawer ,,10,,,,
Linde,E69487,"ELEMENT,FILTER 40/50 MICRON",L 4th drawer ,"40/50 Micron Element for valve V632+ JT-page 150,152 item F60,F62",5,,44767,,1
Linde,E68827,"SCREW,PAN #10-32X.5"" SS",L 4th drawer ,Electrical panel assembly-Page 75,2,,,,
Linde,E69364,"GASK,PURIFIER CRYO ADS",L 4th drawer ,CRYO Adsorber +JT ,2,,,,
Linde ,E68838,"WASH,FL #10 SS",L 4th drawer ,Wash fl for Model RSX Helium Compressor Control Cabinet Assembly-RSX page 62 item 82,10,,,,
Linde,E64667,"CLAMP,TUBE .75"" UNISTRUT P2028",L 4th drawer ,,1,,,,
Linde,E69467,"STEM,VALVE PURIFIER",L 4th drawer ,"stem valve asembly -page 182 item 3, page 184 item 3, page 193 item 20",1,,,,
Slice engineering ,NA,Boron Nitride Paste 5cc,R 5th drawer ,,4,,,,
Linde,E69470,"ORING,030 BUNA N304-70 PARKER",R 6th drawer ,"N.C. Actuator-V308-Page 180 item 14, page 182 item 10, page 184 item 5, page 193 item 12",73,,,,
bauer,N15839,"ELM, OIL FILTER",R 6th drawer ,Oil filter for Oil Pump and Fan Wheel Drive Assembly-bauer page 59 item 28,2,,,,
Linde ,E69485,"KIT, SOLVALVE ASCO 304-063  V805 ",R 6th drawer ,"rebuild kit for V805 page 157, page 195 item 71",1,,,,
Linde ,E70930,"MODULE, ANALOG INPUT,, 16CH ",R 6th drawer ,ELECTRICAL PANEL ASSEMBLY-Page 74 item 10,1,,,,
Rego ,11561-31,rego reducer ,R 7th Drawer ,,4,,,,
Linde ,E71925,"VALVE, SOL .25NPT 120/110V BR",L 6th drawer ,"V602+V603+V617-page 155,156,193",1,,,,
Linde,E70620,"VALVE, SOL .375NPT 120/110V SS",L 6th drawer ,"V378-page 155,195 item 63",1,,,,
McMASTER-CARR,1491N157,Threaded brass pipe fitting 1/2 female NPTF,L 6th drawer ,,5,,,,
McMASTER-CARR,1491N198,Threaded brass pipe fitting male 1/4 NPTF,L 6th drawer ,,5,,44825,,1
